x,p11,p12,p13,p14,p21,p22,p23,p24
0.64,0.968-0.073899i,0.968+0.073899i,0.98546-1.6639e-16i,0.89612-7.3367e-17i,0.96569-0.05556i,0.96569+0.05556i,0.95479,0.92277
0.65,0.96723+0.071814i,0.96723-0.071814i,0.98288+8.8318e-16i,0.89837+1.0465e-15i,0.96635-0.053621i,0.96635+0.053621i,0.93773-0.0042007i,0.93773+0.0042007i
0.66,0.96703+0.070219i,0.96703-0.070219i,0.98095-1.8584e-16i,0.89976+9.0663e-16i,0.96606-0.055542i,0.96606+0.055542i,0.95261,0.92402
0.67,0.96662-0.068323i,0.96662+0.068323i,0.97877-4.8962e-16i,0.90214-1.8348e-15i,0.96577-0.056297i,0.96577+0.056297i,0.95649,0.92153
0.68,0.96562-0.065759i,0.96562+0.065759i,0.97421-2.7054e-16i,0.90636-1.2798e-15i,0.96666-0.05241i,0.96666+0.05241i,0.93727-0.014553i,0.93727+0.014553i
0.69,0.96591-0.065835i,0.96591+0.065835i,0.97463+6.5041e-16i,0.90592-1.0183e-15i,0.96606-0.054267i,0.96606+0.054267i,0.94331,0.93336
0.7,0.96669+0.067014i,0.96669-0.067014i,0.97681-4.619e-16i,0.90384+1.1271e-15i,0.96566-0.057722i,0.96566+0.057722i,0.96063,0.91864
0.71,0.96652-0.065831i,0.96652+0.065831i,0.97474+5.0885e-16i,0.90546-1.1314e-15i,0.96572-0.05651i,0.96572+0.05651i,0.95644,0.92211
0.72,0.96627-0.064261i,0.96627+0.064261i,0.97204+1.2536e-16i,0.90805-4.9842e-16i,0.96564-0.055335i,0.96564+0.055335i,0.9518,0.92662
0.73,0.96633+0.060717i,0.96633-0.060717i,0.96288+1.5427e-16i,0.91568-1.2735e-15i,0.96633-0.051136i,0.96633+0.051136i,0.93782-0.019483i,0.93782+0.019483i
0.74,0.96652-0.061566i,0.96652+0.061566i,0.96581-1.1795e-16i,0.91279+3.9518e-16i,0.96576-0.053956i,0.96576+0.053956i,0.94215,0.93543
0.75,0.96694-0.063528i,0.96694+0.063528i,0.97027-3.6032e-17i,0.9085+1.517e-15i,0.96595-0.05701i,0.96595+0.05701i,0.95925,0.91918
0.76,0.9671-0.062627i,0.9671+0.062627i,0.96817-2.4166e-16i,0.90998+9.6942e-16i,0.96591-0.056436i,0.96591+0.056436i,0.95734,0.92086
0.77,0.96737-0.06182i,0.96737+0.06182i,0.96616-4.3486e-17i,0.91134+1.6463e-16i,0.9659-0.05601i,0.9659+0.05601i,0.95582,0.92223
0.78,0.96756+0.060751i,0.96756-0.060751i,0.96345+5.2373e-16i,0.91341-2.3737e-15i,0.96581-0.055196i,0.96581+0.055196i,0.95245,0.9254
0.79,0.96799+0.059815i,0.96799-0.059815i,0.96096+6.8132e-16i,0.91495-1.297e-15i,0.96584-0.054641i,0.96584+0.054641i,0.94988,0.92763
0.8,0.96899+0.0584i,0.96899-0.0584i,0.95537-6.2969e-16i,0.9183+1.9482e-15i,0.96596-0.053413i,0.96596+0.053413i,0.93829-0.0045085i,0.93829+0.0045085i
0.81,0.96916-0.058056i,0.96916+0.058056i,0.95373-6.7246e-16i,0.91929-1.5654e-15i,0.96606-0.052962i,0.96606+0.052962i,0.93798-0.0089383i,0.93798+0.0089383i
0.82,0.9686+0.059118i,0.9686-0.059118i,0.95778-1.3566e-15i,0.91699+2.331e-15i,0.96589-0.053372i,0.96589+0.053372i,0.9384-0.0061102i,0.9384+0.0061102i
0.83,0.96865+0.058977i,0.96865-0.058977i,0.95729-5.6018e-16i,0.91739+4.2671e-16i,0.96591-0.053295i,0.96591+0.053295i,0.93838-0.007073i,0.93838+0.007073i
0.84,0.96862+0.05925i,0.96862-0.05925i,0.95839-3.0539e-16i,0.91634-5.0061e-16i,0.96594-0.053646i,0.96594+0.053646i,0.93839-0.0011217i,0.93839+0.0011217i
0.85,0.96905-0.057801i,0.96905+0.057801i,0.95-1.8795e-16i,0.92302-3.839e-16i,0.96589-0.05131i,0.96589+0.05131i,0.93777-0.018391i,0.93777+0.018391i
0.86,0.96925+0.057334i,0.96925-0.057334i,0.94724-8.8174e-16i,0.92521+1.1181e-15i,0.96592-0.050976i,0.96592+0.050976i,0.93763-0.019603i,0.93763+0.019603i
0.87,0.96956-0.056722i,0.96956+0.056722i,0.94076+1.5537e-14i,0.93082-9.4598e-15i,0.96597-0.05041i,0.96597+0.05041i,0.9374-0.021678i,0.9374+0.021678i
0.88,0.96958+0.056738i,0.96958-0.056738i,0.94126-5.3356e-16i,0.93035-1.7169e-15i,0.96599-0.050526i,0.96599+0.050526i,0.93742-0.021285i,0.93742+0.021285i
0.89,0.9702-0.055798i,0.9702+0.055798i,0.93513-0.010824i,0.93513+0.010824i,0.96596-0.049804i,0.96596+0.049804i,0.93727-0.023751i,0.93727+0.023751i
0.9,0.97064-0.05552i,0.97064+0.05552i,0.93466-0.013544i,0.93466+0.013544i,0.96596-0.049586i,0.96596+0.049586i,0.9372-0.024539i,0.9372+0.024539i
0.91,0.97207+0.054693i,0.97207-0.054693i,0.93338+0.018389i,0.93338-0.018389i,0.96575-0.049184i,0.96575+0.049184i,0.9373-0.025877i,0.9373+0.025877i
0.92,0.97238+0.054419i,0.97238-0.054419i,0.93313+0.019483i,0.93313-0.019483i,0.96571-0.049116i,0.96571+0.049116i,0.93733-0.02612i,0.93733+0.02612i
0.93,0.97216-0.054651i,0.97216+0.054651i,0.93331-0.018626i,0.93331+0.018626i,0.96579-0.049131i,0.96579+0.049131i,0.93725-0.026014i,0.93725+0.026014i
0.94,0.97153-0.055244i,0.97153+0.055244i,0.93387-0.016316i,0.93387+0.016316i,0.96598-0.049103i,0.96598+0.049103i,0.93705-0.025965i,0.93705+0.025965i
0.95,0.97131-0.055457i,0.97131+0.055457i,0.93411-0.015447i,0.93411+0.015447i,0.96606-0.049052i,0.96606+0.049052i,0.93696-0.02605i,0.93696+0.02605i
0.96,0.97-0.056509i,0.97+0.056509i,0.93519-0.01132i,0.93519+0.01132i,0.96651-0.048484i,0.96651+0.048484i,0.93641-0.027589i,0.93641+0.027589i
0.97,0.97176-0.05554i,0.97176+0.05554i,0.93389-0.016134i,0.93389+0.016134i,0.96602-0.048922i,0.96602+0.048922i,0.93701-0.026425i,0.93701+0.026425i
0.98,0.97293+0.055073i,0.97293-0.055073i,0.933+0.018454i,0.933-0.018454i,0.96574-0.049225i,0.96574+0.049225i,0.93736-0.025709i,0.93736+0.025709i
0.99,0.97331+0.05495i,0.97331-0.05495i,0.93274+0.019086i,0.93274-0.019086i,0.96566-0.049397i,0.96566+0.049397i,0.93745-0.025254i,0.93745+0.025254i
1,0.972+0.055742i,0.972-0.055742i,0.93382+0.016428i,0.93382-0.016428i,0.96597-0.04885i,0.96597+0.04885i,0.93705-0.02667i,0.93705+0.02667i
