x,p11,p12,p13,p14,p21,p22,p23,p24
0.5,0.93305-0.10673i,0.93305+0.10673i,1.0035-2.635e-15i,0.95128+4.8321e-15i,1.0205-0.067927i,1.0205+0.067927i,0.88831-0.077921i,0.88831+0.077921i
0.75,0.89991+0.087817i,0.89991-0.087817i,0.99509+0.040771i,0.99509-0.040771i,-0.24992,1.0325-0.047777i,1.0325+0.047777i,0.97472
1,0.92044-0.092607i,0.92044+0.092607i,0.98661-0.038238i,0.98661+0.038238i,9.9456,1.1001,0.98894-0.02833i,0.98894+0.02833i
1.25,0.81748+1.931e-13i,1.006-0.055452i,0.99466+2.0467e-13i,1.006+0.055452i,-1.4035,0.89404,0.99657-0.048393i,0.99657+0.048393i
1.5,0.90596-0.075179i,0.90596+0.075179i,0.98459-0.035402i,0.98459+0.035402i,0.88968-0.26285i,0.88968+0.26285i,0.97942-0.042735i,0.97942+0.042735i
1.75,0.89661+0.08376i,0.89661-0.08376i,0.98823+0.034984i,0.98823-0.034984i,0.80524-0.13566i,0.80524+0.13566i,0.98071-0.053473i,0.98071+0.053473i
2,0.90025-0.12511i,0.90025+0.12511i,0.98731-0.029037i,0.98731+0.029037i,0.75248,0.97915-0.080116i,0.97915+0.080116i,0.85755
2.25,0.9012+0.1003i,0.9012-0.1003i,0.98529+0.029389i,0.98529-0.029389i,0.75672,0.97899-0.093392i,0.97899+0.093392i,0.86564
2.5,0.8972-0.070655i,0.8972+0.070655i,0.98593-0.033907i,0.98593+0.033907i,0.88953-0.13775i,0.88953+0.13775i,0.95948-0.060591i,0.95948+0.060591i
2.75,0.76757+3.5008e-13i,1.0079-0.046034i,1.0079+0.046034i,0.9681-6.9005e-14i,0.93991-0.2148i,0.93991+0.2148i,0.96744-0.042182i,0.96744+0.042182i
3,0.84357-1.0231e-13i,0.99034-0.043491i,0.99034+0.043491i,0.93825+4.1201e-14i,0.85641-0.10101i,0.85641+0.10101i,0.97061-0.086284i,0.97061+0.086284i
3.25,0.98607-0.038198i,0.98607+0.038198i,0.89673-0.033917i,0.89673+0.033917i,0.99887-0.17406i,0.99887+0.17406i,0.86788-0.069754i,0.86788+0.069754i
3.5,0.98594-0.03885i,0.98594+0.03885i,0.89644-0.024585i,0.89644+0.024585i,1.0027-0.15954i,1.0027+0.15954i,0.8463-0.057477i,0.8463+0.057477i
3.75,0.98864-0.041466i,0.98864+0.041466i,0.86398-2.838e-13i,0.92296+2.4034e-13i,0.99607-0.095871i,0.99607+0.095871i,0.82088-0.060531i,0.82088+0.060531i
4,0.98885+0.04109i,0.98885-0.04109i,0.86823+1.2876e-13i,0.91787-1.3521e-13i,1.0005-0.10261i,1.0005+0.10261i,0.74839,0.82846
4.25,0.98828-0.039827i,0.98828+0.039827i,0.89359-0.016827i,0.89359+0.016827i,0.77835-0.096633i,0.77835+0.096633i,0.98718-0.073232i,0.98718+0.073232i
4.5,0.98807-0.039472i,0.98807+0.039472i,0.89406-0.025218i,0.89406+0.025218i,0.40589,1.0084-0.093383i,1.0084+0.093383i,0.88251
4.75,0.98729-0.037666i,0.98729+0.037666i,0.89469-0.043078i,0.89469+0.043078i,0.48466,1.0084-0.094625i,1.0084+0.094625i,0.87516
5,0.98742-0.038188i,0.98742+0.038188i,0.89426-0.038699i,0.89426+0.038699i,0.7226-0.3058i,0.7226+0.3058i,0.98188-0.046364i,0.98188+0.046364i
5.25,0.9877-0.038605i,0.9877+0.038605i,0.89318-0.031946i,0.89318+0.031946i,1.1158-0.46692i,1.1158+0.46692i,0.97494-0.033747i,0.97494+0.033747i
5.5,0.98857+0.040276i,0.98857-0.040276i,0.88786+1.1492e-12i,0.89716-1.1274e-12i,1.9076,1.1005,0.93983-0.025535i,0.93983+0.025535i
5.75,0.98827+0.03991i,0.98827-0.03991i,0.89308+0.016257i,0.89308-0.016257i,1.57,1.1959,0.89632-0.053063i,0.89632+0.053063i
6,0.98878-0.040621i,0.98878+0.040621i,0.87455-2.4501e-13i,0.90979+2.2699e-13i,1.5138,1.1967,0.90314-0.054405i,0.90314+0.054405i
