x,p11,p12,p13,p14,p21,p22,p23,p24
0.5,1.1668-0.1544i,1.1668+0.1544i,1.0816-4.6385e-15i,0.83222-1.0178e-15i,0.77138,1.0633-0.15964i,1.0633+0.15964i,1.0541
0.75,0.76774+7.0444e-14i,0.98392-0.14681i,1.0057+1.471e-15i,0.98392+0.14681i,2.1652,0.78436,0.99896-0.068909i,0.99896+0.068909i
1,0.77482+1.249e-14i,0.98157-0.1299i,0.99892-1.695e-15i,0.98157+0.1299i,0.16052,1.3389,0.98467-0.053673i,0.98467+0.053673i
1.25,0.74564-7.8992e-14i,1.03+0.11676i,1.0027+2.9404e-14i,1.03-0.11676i,2.5212,0.69756,0.96119-0.083531i,0.96119+0.083531i
1.5,0.98612+0.14537i,0.98612-0.14537i,0.99178+2.8633e-16i,0.84683-2.1366e-14i,1.5496,0.5054,0.97168-0.060885i,0.97168+0.060885i
1.75,1.0082-0.16839i,1.0082+0.16839i,0.99523-3.2855e-15i,0.86833+4.1362e-14i,1.8564,0.7205,0.97111-0.066592i,0.97111+0.066592i
2,0.99407+0.16978i,0.99407-0.16978i,0.99028-3.1379e-17i,0.88473-3.2251e-14i,2.0707,0.85489,0.94292-0.10763i,0.94292+0.10763i
2.25,0.98694-0.21098i,0.98694+0.21098i,0.98768+1.4201e-16i,0.92727+6.6109e-15i,1.7996,0.79682,0.93519-0.091011i,0.93519+0.091011i
2.5,1.0012-0.31407i,1.0012+0.31407i,0.96719-7.096e-15i,0.98471-1.2492e-15i,1.4592,0.61402,0.95194-0.057568i,0.95194+0.057568i
2.75,0.62888+2.709e-13i,1.1832-2.7175e-13i,1.0005-8.4241e-15i,1.0312+1.0598e-13i,0.295,1.3205,0.9631-0.049263i,0.9631+0.049263i
3,0.73681-4.1828e-14i,1.0736+0.079831i,0.9926+1.103e-15i,1.0736-0.079831i,1.6194,0.68492,0.93993-0.081198i,0.93993+0.081198i
3.25,0.71011+3.5522e-14i,0.99126-7.7197e-16i,1.0876-0.053006i,1.0876+0.053006i,1.4688,0.40177,0.89499-0.086915i,0.89499+0.086915i
3.5,0.51687+7.7154e-14i,1.2706-4.486e-14i,0.99021-1.8346e-16i,1.0179+9.1124e-15i,1.5695,0.73512,0.91322-0.11848i,0.91322+0.11848i
3.75,0.744-3.9774e-14i,1.0889+0.065719i,1.0889-0.065719i,0.99134+6.9509e-16i,1.5784,0.75945,0.95742-0.10873i,0.95742+0.10873i
4,0.79548-1.1824e-14i,1.0675+0.10788i,0.99205-5.312e-16i,1.0675-0.10788i,1.6116,0.70355,0.96222-0.09541i,0.96222+0.09541i
4.25,0.78789-5.0987e-14i,1.0718+0.10235i,0.99238-1.0231e-16i,1.0718-0.10235i,0.51505,1.4698,0.9637-0.072801i,0.9637+0.072801i
4.5,0.79498-1.6265e-14i,1.0672+0.10818i,0.99296+3.5018e-16i,1.0672-0.10818i,1.6637,0.60493,0.95905-0.086212i,0.95905+0.086212i
4.75,0.77424-3.3584e-15i,1.0782-0.090779i,1.0782+0.090779i,0.99359-3.8313e-16i,1.6852,0.68787,0.95621-0.10487i,0.95621+0.10487i
5,1.0811-0.086449i,1.0811+0.086449i,0.99412+2.0999e-16i,0.77421+2.7831e-14i,1.5914,0.48502,0.96622-0.075673i,0.96622+0.075673i
5.25,0.78053-5.1181e-14i,1.0815-0.0895i,1.0815+0.0895i,0.99372+1.1047e-16i,0.33024,1.4657,0.96924-0.067521i,0.96924+0.067521i
5.5,1.0679+0.11452i,1.0679-0.11452i,0.99341-3.3573e-16i,0.81226+2.6695e-14i,-0.15579,1.4117,0.96652-0.061757i,0.96652+0.061757i
5.75,0.8067+2.276e-15i,1.0679-0.11195i,1.0679+0.11195i,0.99353-1.5954e-16i,-0.31675,1.5902,0.96664-0.069916i,0.96664+0.069916i
6,1.0644-0.12061i,1.0644+0.12061i,0.99323-3.563e-16i,0.8207-1.3392e-15i,-1.0657,1.4327,0.96605-0.064404i,0.96605+0.064404i
