time,phi,theta,phi_dot,theta_dot,ua,ref,ts
0.009,-2.3,0.12,0.0,0.68,-0.4,-0.44,1.0
0.02,-2.2999939701901937,0.12702631683262675,-0.0028576193427090057,0.660671933487936,0.4,0.34,1.0
0.029,-2.299123639718265,0.1785089914905795,0.2788800206698072,0.5115386413210483,1.2799999999999998,1.25,1.0
0.039,-2.303696725004292,0.36381998710057584,0.11047455934502226,0.29532964957520447,-0.26,0.09,1.0
0.049,-2.308977073924829,0.12931937269461888,-0.2319057816495228,0.4344069576891598,-0.26,-0.25,1.0
0.059,-2.3109169801123635,0.0800430855120308,-0.2509867760084106,0.42999559324353387,0.10999999999999999,0.09,1.0
0.07,-2.3104598956313094,0.12546822633891308,0.03561736428321201,0.3244243941304095,0.41000000000000003,0.38,1.0
0.08,-2.309041695837234,0.19636400267045823,0.2959759586767463,0.3313931042983293,0.43999999999999995,0.38,1.0
0.09,-2.308115694607378,0.20675988997831568,0.35369620648764066,0.24674814574277035,0.31999999999999995,0.3,1.0
0.1,-2.3080942000338123,0.19538957430326725,0.26651304266219256,0.2638742851659415,0.51,0.47,1.0
0.111,-2.3077331353482546,0.22569759430411437,0.4016154816370726,0.18832160766685363,-0.28,-0.31,1.0
0.12,-2.3095051846695753,0.10907490732379513,-0.1835099158134994,0.23774953049671343,0.41000000000000003,0.41,1.0
0.13,-2.3242041528891697,0.22667636133053964,-0.6098729809517457,0.09633418000700567,-0.82,-0.47,1.0
0.14,-2.3318826346555257,0.027421312411552073,-0.748492295692804,0.21215418819704968,0.38,0.4,1.0
0.15,-2.338663572843828,0.23488857660995963,-0.7244179650397604,0.4537777121336989,-0.16000000000000003,-0.01,1.0
0.16,-2.333848471478264,0.11803789571417905,0.6067458047522419,0.692123569743986,0.16000000000000003,-0.47,1.0
0.17,-2.329534856677184,0.1663079628270652,0.19872020515783423,0.5771923998015481,-0.47,-0.69,1.0
0.18,-2.3307775091580423,0.03616214172277826,-0.32791198440500646,0.03779433760073947,-0.09999999999999998,-0.05,1.0
0.19,-2.3310826446637907,0.08903070893980275,-0.12163087443257514,-0.28618070119457845,0.29999999999999993,0.41,1.0
0.2,-2.329768524164007,0.17807389068375723,0.19698123252040545,-0.3825852939546457,0.28,0.4,1.0
0.21,-2.313891385849741,0.15392142992156252,1.0959386404507963,-0.3675750653881128,1.3900000000000001,1.17,1.0
0.22,-2.297676290598627,0.3212820783195312,2.079796587454945,-0.4787796911859419,-0.84,-1.06,1.0
0.23,-2.2901614711511287,-0.02233333814051519,0.5225561696805328,-0.5361861394390199,-0.7599999999999999,-0.73,1.0
0.241,-2.2832825621979036,-0.13121322366721322,0.4174834736465427,-1.3624703361175707,-1.2200000000000002,-0.85,1.0
0.251,-2.2682724116165174,-0.17331005613814982,0.030866103116241828,-1.28537711863825,-0.38,-0.04,1.0
0.262,-2.263210351291149,0.047296852648611776,-0.29964492162946044,-0.4265106306560438,-1.19,-0.9,1.0
0.271,-2.2646847961265117,-0.05715205382939018,-0.9809757521634954,0.24667820754173542,0.37,0.5,1.0
0.282,-2.262040422484086,0.10793649679898587,0.15174203087780125,-0.20950288283863616,-0.7799999999999999,-0.52,1.0
0.291,-2.262410513889295,-0.020199085058450555,-0.5894917697829316,-0.027196168740395654,0.44999999999999996,0.72,1.0
0.302,-2.2605110968948625,0.1229994882991133,0.2654248254499205,-0.42108948183365563,0.43999999999999995,0.79,1.0
0.311,-2.2585356616283683,0.16662121536209648,0.3575673453334789,-0.4677576735734094,0.10999999999999999,0.51,1.0
0.321,-2.2432674953460032,0.021474223675905235,1.8891434004243197,-0.8031253941609492,0.7000000000000001,0.57,1.0
0.331,-2.2354731129231316,0.14069217201059236,0.8289113738302059,-1.2141570360373055,-0.41999999999999993,0.37,1.0
0.341,-2.2156659675754242,-0.07839049151267213,1.5550686778037428,-1.3143622279084821,-0.5399999999999999,-0.35,1.0
0.351,-2.2327824820352054,0.0033117209296453926,-1.9267681408279398,-1.2268281736202984,-2.14,-0.48,1.0
0.362,-2.247426721588074,-0.25938829895862964,-1.9445329970078848,-0.42607159884025836,-0.04999999999999999,0.62,1.0
0.371,-2.2761521792510466,0.12271871525390032,-2.9625592083478702,0.007006414202268996,-1.6600000000000001,-0.2,1.0
0.382,-2.3045152943213467,-0.044425160791184276,-3.532874821081109,1.2675234751343576,-0.24,0.44,1.0
0.391,-2.3388418039319365,0.10311318294758354,-3.346054109084437,0.9916114921560171,-1.27,-0.18,1.0
0.402,-2.3798611069453273,0.027642251896654174,-4.146581852971972,1.5300113341629797,-0.7899999999999999,0.09,1.0
0.411,-2.427961840258109,0.09660206110768256,-4.751974618303397,1.4335862564393147,-2.0500000000000003,-0.83,1.0
0.421,-2.459227950217543,-0.14117917390992846,-4.0529304607256105,1.5342126520011017,-0.27,0.2,1.0
0.431,-2.506613898026971,0.24351905812625774,-5.222171350857473,1.8368297437088104,-1.67,-0.43,1.0
0.441,-2.5766781143051007,0.14211474037930688,-6.530202520581981,2.787369319718523,-0.12,0.74,1.0
0.452,-2.63751797420113,0.3202145228706049,-5.496270758511994,2.470272390030368,-1.2399999999999998,-0.41,1.0
0.461,-2.691200609245773,0.1723326522138429,-5.344529081634991,2.600282175621672,-0.16999999999999993,0.24,1.0
0.471,-2.7389093592112546,0.2773827161799298,-4.460879879557954,1.857106851134366,-0.7799999999999999,-0.19,1.0
0.482,-2.7806807254711696,0.21694196191307685,-3.947828816248331,1.8111940571834382,0.21999999999999997,0.42,1.0
0.491,-2.825221939090285,0.4087614473882104,-3.9811547401565255,1.6106623593584608,0.04999999999999999,0.57,1.0
0.501,-2.843864557026391,0.29629519578686225,-1.4868106521295876,1.1550618058808297,-0.31999999999999995,-0.73,1.0
0.511,-2.8447149011329187,0.14843807910503645,-0.47885481107037386,0.3427022015981056,0.16999999999999993,-0.21,1.0
0.521,-2.8416535465650825,0.16172617048201934,0.08072233489938424,-0.9117406461586581,-0.19999999999999996,-0.08,1.0
0.531,-2.833192685548104,0.1310256792884596,0.7211505957098061,-1.0581129143803454,0.16000000000000003,-0.03,1.0
0.541,-2.8291835519247663,0.22706797926298122,0.20544622167059545,-0.9750825869422887,-0.16999999999999993,-0.02,1.0
0.551,-2.8299888839593472,0.1877445027746409,-0.13573408812567522,-0.8369092884526557,-0.61,-0.45,1.0
0.562,-2.831986169340523,0.10129902128482984,-0.5146238783739299,-0.7200206398740903,0.47,0.64,1.0
0.571,-2.830283274874774,0.2317427231331129,0.26993575324378183,-0.9900998710140374,0.31999999999999995,0.57,1.0
0.582,-2.8138132572731993,0.20204592986124625,1.130752998635895,-0.9975222143609597,-0.10999999999999999,-0.16,1.0
0.592,-2.801607435624687,0.11984965577320708,0.9388073363110168,-0.9611651839166911,0.29999999999999993,0.33,1.0
0.602,-2.790242339425393,0.16058617654876023,1.2328514134091384,-1.011410590620422,0.58,0.63,1.0
0.612,-2.778609582019657,0.20990486645487286,1.4823646967281818,-1.0000401393383656,0.09999999999999998,0.18,1.0
0.623,-2.761693572459207,0.14109881125257573,1.1465942184794717,-0.8528947765139289,0.009999999999999953,0.11,1.0
0.632,-2.7583792643092386,0.1396861220077673,0.15829945030379894,-0.7733473375542338,-0.47,-0.0,1.0
0.643,-2.7528708238283697,0.009528214965914633,0.5319546317721062,-0.8556147596769837,0.64,0.83,1.0
0.652,-2.7557948524781297,0.2255540248182519,-0.3125499834257828,-1.0421032370626642,-1.0099999999999998,-0.05,1.0
